model,case,episodes,failed,traversed,settled,passed,mean_duration,moving_speed,moving_command,fast_command_speed,tracking_xy
model_23600,ascent/10cm/0.45,26,14,19,0,0,14.531538461538462,1.2977876001279796,0.4497701184832469,0.0,0.607863245675197
model_23600,ascent/10cm/0.65,25,12,15,1,1,16.2208,1.9031239560999014,0.6485641034850858,0.0,0.584087660908699
model_23600,ascent/14cm/0.45,43,40,21,1,1,9.251627906976744,0.7365272203277954,0.44989616902508617,0.0,0.6377552650695624
model_23600,ascent/14cm/0.65,46,44,21,0,0,7.847391304347826,0.9972650903225985,0.6484333882597335,0.0,0.6118332549281742
model_23600,ascent/8cm/0.45,24,5,22,10,10,18.851666666666667,1.20112376050451,0.44974598610512034,0.0,0.6951519797245661
model_23600,ascent/8cm/0.65,23,8,18,8,8,17.15304347826087,1.6349885294717628,0.6470143603771883,0.0,0.6276671394057896
model_23600,descent/10cm/0.45,15,5,14,6,6,16.590666666666667,0.9622483227365249,0.4491183812620867,0.0,0.5241911719242732
model_23600,descent/10cm/0.65,12,3,11,4,4,17.69666666666667,1.4699092119031945,0.6461275789051633,0.0,0.5272784928480784
model_23600,descent/14cm/0.45,21,18,13,0,0,9.95142857142857,1.2426915792395978,0.44963296736777114,0.0,0.5691136306240445
model_23600,descent/14cm/0.65,33,33,20,0,0,6.467272727272728,1.1195381832443905,0.6487603248570504,0.0,0.5162653986251715
model_23600,descent/8cm/0.45,14,0,14,14,14,20.0,0.774149472718118,0.4498051648948625,0.0,0.5717647841998509
model_23600,descent/8cm/0.65,12,0,12,11,11,20.0,0.9206051691482057,0.6500010242200878,0.0,0.5450141355395317
model_23600,flat/0.8,32,0,0,0,0,20.0,0.9275243763326836,0.7989992623342347,0.0,0.7428195062093437
model_23600,flat/1.2,32,0,0,0,0,20.0,1.085516920961332,1.187944534222922,1.0906328098868399,0.6881215488538146
model_23600,flat/1.8,33,4,0,0,0,18.671515151515152,2.641892397683487,1.7503719526355308,2.6385071954081387,0.06718612755789902
model_23600,other,77,9,0,0,0,19.005714285714287,0.7104711380735733,0.4495151892218396,0.0,0.6859704646971319
model_24500,ascent/10cm/0.45,24,12,10,1,1,16.051666666666666,1.4389766103453838,0.44964085933984504,0.0,0.59485466654102
model_24500,ascent/10cm/0.65,26,15,7,0,0,13.317692307692308,1.5699999965718612,0.6480031092719845,0.0,0.5509987507875149
model_24500,ascent/14cm/0.45,43,41,10,0,0,9.310232558139536,0.8531593627508529,0.44978941092870994,0.0,0.5824721358543219
model_24500,ascent/14cm/0.65,44,40,12,1,1,8.209090909090909,0.9896373079339501,0.6481139401444543,0.0,0.5820860087194226
model_24500,ascent/8cm/0.45,25,5,16,9,9,18.6488,1.081485149197999,0.44969105465001347,0.0,0.7205697917938232
model_24500,ascent/8cm/0.65,22,5,13,3,3,18.651818181818182,1.787928133666779,0.6478144482055426,0.0,0.6158500239253044
model_24500,descent/10cm/0.45,14,5,13,6,6,17.284285714285712,0.7652620968195986,0.4494265470837406,0.0,0.6054810796465192
model_24500,descent/10cm/0.65,12,4,9,2,2,16.900000000000002,1.3704243044730289,0.6467821487104929,0.0,0.5570910076300303
model_24500,descent/14cm/0.45,21,14,10,0,0,11.95142857142857,0.9114861581226292,0.44977084158482256,0.0,0.5584957695433072
model_24500,descent/14cm/0.65,23,22,10,0,0,8.677391304347827,1.2166945064769072,0.6487591062273298,0.0,0.5316808709631795
model_24500,descent/8cm/0.45,14,0,14,13,13,20.0,0.7063133822452958,0.4494172994592191,0.0,0.6267547394548144
model_24500,descent/8cm/0.65,12,0,12,11,11,20.0,0.8847295262088035,0.6469119955625383,0.0,0.5658042232195536
model_24500,flat/0.8,32,0,0,0,0,20.0,0.8391481998354889,0.7991230367146503,0.0,0.7740510129369795
model_24500,flat/1.2,32,0,0,0,0,20.0,1.2136248515385801,1.1870056907465028,1.2175457920357455,0.5008856682106853
model_24500,flat/1.8,33,3,0,0,0,19.006060606060608,2.6109594289423486,1.7593450181441659,2.6078666636654506,0.05480250230792797
model_24500,other,77,4,0,0,0,19.463376623376625,0.579543858908822,0.4496340106184427,0.0,0.777108596516894
model_25500,ascent/10cm/0.45,23,7,19,9,9,16.36695652173913,0.6250472075725646,0.449685603541851,0.0,0.7381726995758389
model_25500,ascent/10cm/0.65,24,7,21,9,8,16.893333333333334,1.0260396647467194,0.6467088569370063,0.0,0.626777725915114
model_25500,ascent/14cm/0.45,31,25,9,3,3,11.535483870967743,0.787376966553835,0.44943734763225424,0.0,0.5816636758465921
model_25500,ascent/14cm/0.65,44,40,16,3,3,8.835909090909091,0.9396365067964936,0.6471861527069401,0.0,0.5939685299315236
model_25500,ascent/8cm/0.45,24,0,24,22,22,20.0,0.5417723229144705,0.44959911878319875,0.0,0.7831647793451945
model_25500,ascent/8cm/0.65,22,1,21,16,16,19.44,0.7922810783020604,0.6459772664518021,0.0,0.687317585403269
model_25500,descent/10cm/0.45,14,0,14,12,12,20.0,0.7145607130868095,0.4497331074305943,0.0,0.6213487557002476
model_25500,descent/10cm/0.65,12,0,12,8,8,20.0,0.9146414548223688,0.6446566438112963,0.0,0.5426257575551668
model_25500,descent/14cm/0.45,14,4,12,8,8,16.214285714285715,0.7741973409559534,0.4484445165448306,0.0,0.6302583813667297
model_25500,descent/14cm/0.65,13,5,10,8,8,15.98,0.9668708868531196,0.6453819947518991,0.0,0.5525609025588403
model_25500,descent/8cm/0.45,14,0,14,14,14,20.0,0.6925749428480872,0.4499990425857843,0.0,0.642067802803857
model_25500,descent/8cm/0.65,12,0,12,11,11,20.0,0.8762997725857833,0.6498332046122574,0.0,0.5865581631660461
model_25500,flat/0.8,32,0,0,0,0,20.0,0.8347668701661135,0.798956466399596,0.0,0.822766562923789
model_25500,flat/1.2,32,0,0,0,0,20.0,1.0567887381974332,1.188011167606194,1.0637920583983493,0.727098174393177
model_25500,flat/1.8,32,1,0,0,0,19.8675,1.3965001793219343,1.737226743757696,1.4098441818853096,0.4639665260910988
model_25500,other,76,2,0,0,0,19.605526315789472,0.5312468997820284,0.4494609371190252,0.0,0.826064731729658
model_26500,ascent/10cm/0.45,22,5,13,4,4,18.220909090909092,0.5849688103988635,0.4496993700408324,0.0,0.6327687786384062
model_26500,ascent/10cm/0.65,22,4,17,7,7,18.762727272727272,0.9846808213571425,0.6476736127865221,0.0,0.7020888111808083
model_26500,ascent/14cm/0.45,25,11,3,2,2,15.6208,0.3199006126447796,0.4497430389619347,0.0,0.514178529381752
model_26500,ascent/14cm/0.65,27,19,12,3,3,13.46962962962963,1.0366664506826895,0.6476396552674405,0.0,0.5606590112050375
model_26500,ascent/8cm/0.45,24,0,23,23,23,20.0,0.43863869553620594,0.4498624087430307,0.0,0.8180672104159991
model_26500,ascent/8cm/0.65,22,1,20,19,19,19.400000000000002,0.7284918005159052,0.6471521134868784,0.0,0.7493740415031259
model_26500,descent/10cm/0.45,14,0,14,8,8,20.0,0.7532228397417672,0.4498651142361798,0.0,0.5992512362343925
model_26500,descent/10cm/0.65,12,0,12,8,8,20.0,0.8924335124045993,0.6463196185840512,0.0,0.5450449685255686
model_26500,descent/14cm/0.45,14,3,13,11,10,17.527142857142856,0.7985059739702758,0.4488958868660115,0.0,0.6048660065446582
model_26500,descent/14cm/0.65,12,1,12,10,10,18.648333333333333,0.9314550975776689,0.6406605203808501,0.0,0.5334309910734495
model_26500,descent/8cm/0.45,14,0,14,12,12,20.0,0.7050360541457658,0.4496077838356286,0.0,0.6292852163314819
model_26500,descent/8cm/0.65,12,0,12,9,9,20.0,0.9041908870092763,0.6474341057329233,0.0,0.5662201195955276
model_26500,flat/0.8,32,0,0,0,0,20.0,0.8499231651782786,0.7990680005434248,0.0,0.8189065102487803
model_26500,flat/1.2,32,0,0,0,0,20.0,1.041872968041169,1.187524496736,1.049174591472594,0.7373710125684738
model_26500,flat/1.8,32,0,0,0,0,20.0,1.3353621747412459,1.7373286185065562,1.3468201437002134,0.4680736307054758
model_26500,other,76,1,0,0,0,19.901842105263157,0.5311064121299839,0.4495817211198567,0.0,0.8229917679962359
